county,megalitres_from_great_lakes,megalitres_from_groundwater,megalitres_from_inland_surface,total_megalitres_all_sources,industry,year,megalitres_from_great_lakes_pc,megalitres_from_groundwater_pc,megalitres_from_inland_surface_pc,main_source,fips
Alcona,0,0,0,0,Commercial-Institutional,2013,0.0,0.0,0.0,Great Lakes,26001
Alcona,0,645,0,645,Electric Power Generation,2013,0.0,1.0,0.0,Groundwater,26001
Alcona,0,0,0,0,Industrial-Manufacturing,2013,0.0,0.0,0.0,Great Lakes,26001
Alcona,0,122,48,170,Irrigation,2013,0.0,0.72,0.28,Groundwater,26001
Alcona,0,70,981,1051,Livestock,2013,0.0,0.07,0.93,Inland Surface,26001
Alcona,0,0,0,0,Other,2013,0.0,0.0,0.0,Great Lakes,26001
Alcona,0,112,0,112,Public Water Supply,2013,0.0,1.0,0.0,Groundwater,26001
Alcona,0,950,1029,1979,Total All Sectors,2013,0.0,0.48,0.52,Inland Surface,26001
Alger,0,5,0,5,Commercial-Institutional,2013,0.0,1.0,0.0,Groundwater,26003
Alger,0,0,0,0,Electric Power Generation,2013,0.0,0.0,0.0,Great Lakes,26003
Alger,6071,392,0,6464,Industrial-Manufacturing,2013,0.94,0.06,0.0,Great Lakes,26003
Alger,0,44,0,44,Irrigation,2013,0.0,1.0,0.0,Groundwater,26003
Alger,0,0,0,0,Livestock,2013,0.0,0.0,0.0,Great Lakes,26003
Alger,0,0,0,0,Other,2013,0.0,0.0,0.0,Great Lakes,26003
Alger,0,618,0,618,Public Water Supply,2013,0.0,1.0,0.0,Groundwater,26003
Alger,6071,1061,0,7133,Total All Sectors,2013,0.85,0.15,0.0,Great Lakes,26003
Allegan,0,5,9,14,Commercial-Institutional,2013,0.0,0.36,0.64,Inland Surface,26005
Allegan,0,6,0,6,Electric Power Generation,2013,0.0,1.0,0.0,Groundwater,26005
Allegan,0,2750,1022,3772,Industrial-Manufacturing,2013,0.0,0.73,0.27,Groundwater,26005
Allegan,0,11710,12325,24036,Irrigation,2013,0.0,0.49,0.51,Inland Surface,26005
Allegan,0,461,11,473,Livestock,2013,0.0,0.97,0.02,Groundwater,26005
Allegan,0,0,0,0,Other,2013,0.0,0.0,0.0,Great Lakes,26005
Allegan,0,5627,0,5627,Public Water Supply,2013,0.0,1.0,0.0,Groundwater,26005
Allegan,0,20561,13369,33931,Total All Sectors,2013,0.0,0.61,0.39,Groundwater,26005
Alpena,0,0,0,0,Commercial-Institutional,2013,0.0,0.0,0.0,Great Lakes,26007
Alpena,154576,0,2393,156970,Electric Power Generation,2013,0.98,0.0,0.02,Great Lakes,26007
Alpena,0,0,4078,4078,Industrial-Manufacturing,2013,0.0,0.0,1.0,Inland Surface,26007
Alpena,0,50,339,390,Irrigation,2013,0.0,0.13,0.87,Inland Surface,26007
Alpena,0,0,0,0,Livestock,2013,0.0,0.0,0.0,Great Lakes,26007
Alpena,0,0,0,0,Other,2013,0.0,0.0,0.0,Great Lakes,26007
Alpena,2734,5,0,2739,Public Water Supply,2013,1.0,0.0,0.0,Great Lakes,26007
Alpena,157310,56,6811,164178,Total All Sectors,2013,0.96,0.0,0.04,Great Lakes,26007
Antrim,0,2,0,2,Commercial-Institutional,2013,0.0,1.0,0.0,Groundwater,26009
Antrim,0,0,0,0,Electric Power Generation,2013,0.0,0.0,0.0,Great Lakes,26009
Antrim,0,253,0,253,Industrial-Manufacturing,2013,0.0,1.0,0.0,Groundwater,26009
Antrim,0,11799,173,11972,Irrigation,2013,0.0,0.99,0.01,Groundwater,26009
Antrim,0,1,0,1,Livestock,2013,0.0,1.0,0.0,Groundwater,26009
Antrim,0,48,0,48,Other,2013,0.0,1.0,0.0,Groundwater,26009
Antrim,0,1474,0,1474,Public Water Supply,2013,0.0,1.0,0.0,Groundwater,26009
Antrim,0,13580,173,13753,Total All Sectors,2013,0.0,0.99,0.01,Groundwater,26009
Arenac,0,0,0,0,Commercial-Institutional,2013,0.0,0.0,0.0,Great Lakes,26011
Arenac,0,0,0,0,Electric Power Generation,2013,0.0,0.0,0.0,Great Lakes,26011
Arenac,0,0,0,0,Industrial-Manufacturing,2013,0.0,0.0,0.0,Great Lakes,26011
Arenac,0,596,843,1439,Irrigation,2013,0.0,0.41,0.59,Inland Surface,26011
Arenac,0,0,0,0,Livestock,2013,0.0,0.0,0.0,Great Lakes,26011
Arenac,0,0,0,0,Other,2013,0.0,0.0,0.0,Great Lakes,26011
Arenac,53608,24,0,53633,Public Water Supply,2013,1.0,0.0,0.0,Great Lakes,26011
Arenac,53608,620,843,55072,Total All Sectors,2013,0.97,0.01,0.02,Great Lakes,26011
Baraga,0,0,0,0,Commercial-Institutional,2013,0.0,0.0,0.0,Great Lakes,26013
Baraga,22417,0,0,22417,Electric Power Generation,2013,1.0,0.0,0.0,Great Lakes,26013
Baraga,482,0,0,482,Industrial-Manufacturing,2013,1.0,0.0,0.0,Great Lakes,26013
Baraga,0,0,13,13,Irrigation,2013,0.0,0.0,1.0,Inland Surface,26013
Baraga,0,0,0,0,Livestock,2013,0.0,0.0,0.0,Great Lakes,26013
Baraga,0,0,0,0,Other,2013,0.0,0.0,0.0,Great Lakes,26013
Baraga,698,0,0,698,Public Water Supply,2013,1.0,0.0,0.0,Great Lakes,26013
Baraga,23598,0,13,23611,Total All Sectors,2013,1.0,0.0,0.0,Great Lakes,26013
Barry,0,4,0,4,Commercial-Institutional,2013,0.0,1.0,0.0,Groundwater,26015
Barry,0,0,0,0,Electric Power Generation,2013,0.0,0.0,0.0,Great Lakes,26015
Barry,0,568,135,703,Industrial-Manufacturing,2013,0.0,0.81,0.19,Groundwater,26015
Barry,0,3351,1273,4625,Irrigation,2013,0.0,0.72,0.28,Groundwater,26015
Barry,0,370,3,374,Livestock,2013,0.0,0.99,0.01,Groundwater,26015
Barry,0,2,0,2,Other,2013,0.0,1.0,0.0,Groundwater,26015
Barry,0,1917,0,1917,Public Water Supply,2013,0.0,1.0,0.0,Groundwater,26015
Barry,0,6215,1412,7627,Total All Sectors,2013,0.0,0.81,0.19,Groundwater,26015
Bay,0,0,0,0,Commercial-Institutional,2013,0.0,0.0,0.0,Great Lakes,26017
Bay,0,0,755088,755088,Electric Power Generation,2013,0.0,0.0,1.0,Inland Surface,26017
Bay,218,1,3061,3280,Industrial-Manufacturing,2013,0.07,0.0,0.93,Inland Surface,26017
Bay,7,241,5339,5588,Irrigation,2013,0.0,0.04,0.96,Inland Surface,26017
Bay,0,0,0,0,Livestock,2013,0.0,0.0,0.0,Great Lakes,26017
Bay,0,0,0,0,Other,2013,0.0,0.0,0.0,Great Lakes,26017
Bay,11381,0,0,11381,Public Water Supply,2013,1.0,0.0,0.0,Great Lakes,26017
Bay,11607,242,763488,775338,Total All Sectors,2013,0.01,0.0,0.98,Inland Surface,26017
Benzie,0,49,0,49,Commercial-Institutional,2013,0.0,1.0,0.0,Groundwater,26019
Benzie,0,0,0,0,Electric Power Generation,2013,0.0,0.0,0.0,Great Lakes,26019
Benzie,0,367,0,367,Industrial-Manufacturing,2013,0.0,1.0,0.0,Groundwater,26019
Benzie,0,1148,0,1148,Irrigation,2013,0.0,1.0,0.0,Groundwater,26019
Benzie,0,52,9129,9181,Livestock,2013,0.0,0.01,0.99,Inland Surface,26019
Benzie,0,44,0,44,Other,2013,0.0,1.0,0.0,Groundwater,26019
Benzie,0,976,0,976,Public Water Supply,2013,0.0,1.0,0.0,Groundwater,26019
Benzie,0,2639,9129,11768,Total All Sectors,2013,0.0,0.22,0.78,Inland Surface,26019
Berrien,0,295,0,295,Commercial-Institutional,2013,0.0,1.0,0.0,Groundwater,26021
Berrien,2767312,0,0,2767312,Electric Power Generation,2013,1.0,0.0,0.0,Great Lakes,26021
Berrien,0,3252,0,3252,Industrial-Manufacturing,2013,0.0,1.0,0.0,Groundwater,26021
Berrien,6,20026,6757,26790,Irrigation,2013,0.0,0.75,0.25,Groundwater,26021
Berrien,0,210,0,210,Livestock,2013,0.0,1.0,0.0,Groundwater,26021
Berrien,0,86,0,86,Other,2013,0.0,1.0,0.0,Groundwater,26021
Berrien,13829,4185,0,18015,Public Water Supply,2013,0.77,0.23,0.0,Great Lakes,26021
Berrien,2781148,28057,6757,2815962,Total All Sectors,2013,0.99,0.01,0.0,Great Lakes,26021
Branch,0,5,0,5,Commercial-Institutional,2013,0.0,1.0,0.0,Groundwater,26023
Branch,0,0,0,0,Electric Power Generation,2013,0.0,0.0,0.0,Great Lakes,26023
Branch,0,26,483,509,Industrial-Manufacturing,2013,0.0,0.05,0.95,Inland Surface,26023
Branch,0,23863,13407,37270,Irrigation,2013,0.0,0.64,0.36,Groundwater,26023
Branch,0,123,0,123,Livestock,2013,0.0,1.0,0.0,Groundwater,26023
Branch,0,0,0,0,Other,2013,0.0,0.0,0.0,Great Lakes,26023
Branch,0,3683,0,3683,Public Water Supply,2013,0.0,1.0,0.0,Groundwater,26023
Branch,0,27702,13890,41593,Total All Sectors,2013,0.0,0.67,0.33,Groundwater,26023
Calhoun,0,912,0,912,Commercial-Institutional,2013,0.0,1.0,0.0,Groundwater,26025
Calhoun,0,0,0,0,Electric Power Generation,2013,0.0,0.0,0.0,Great Lakes,26025
Calhoun,0,3986,1509,5495,Industrial-Manufacturing,2013,0.0,0.73,0.27,Groundwater,26025
Calhoun,0,5958,3227,9186,Irrigation,2013,0.0,0.65,0.35,Groundwater,26025
Calhoun,0,43,0,43,Livestock,2013,0.0,1.0,0.0,Groundwater,26025
Calhoun,0,491,0,491,Other,2013,0.0,1.0,0.0,Groundwater,26025
Calhoun,0,17106,0,17106,Public Water Supply,2013,0.0,1.0,0.0,Groundwater,26025
Calhoun,0,28498,4737,33235,Total All Sectors,2013,0.0,0.86,0.14,Groundwater,26025
Cass,0,20,0,20,Commercial-Institutional,2013,0.0,1.0,0.0,Groundwater,26027
Cass,0,0,0,0,Electric Power Generation,2013,0.0,0.0,0.0,Great Lakes,26027
Cass,0,15,1443,1458,Industrial-Manufacturing,2013,0.0,0.01,0.99,Inland Surface,26027
Cass,0,54764,3841,58606,Irrigation,2013,0.0,0.93,0.07,Groundwater,26027
Cass,0,149,0,149,Livestock,2013,0.0,1.0,0.0,Groundwater,26027
Cass,0,335,0,335,Other,2013,0.0,1.0,0.0,Groundwater,26027
Cass,0,1802,0,1802,Public Water Supply,2013,0.0,1.0,0.0,Groundwater,26027
Cass,0,57088,5284,62372,Total All Sectors,2013,0.0,0.92,0.08,Groundwater,26027
Charlevoix,0,1773,0,1773,Commercial-Institutional,2013,0.0,1.0,0.0,Groundwater,26029
Charlevoix,0,0,0,0,Electric Power Generation,2013,0.0,0.0,0.0,Great Lakes,26029
Charlevoix,3219,16410,3385,23015,Industrial-Manufacturing,2013,0.14,0.71,0.15,Groundwater,26029
Charlevoix,0,181,202,383,Irrigation,2013,0.0,0.47,0.53,Inland Surface,26029
Charlevoix,0,0,0,0,Livestock,2013,0.0,0.0,0.0,Great Lakes,26029
Charlevoix,0,0,0,0,Other,2013,0.0,0.0,0.0,Great Lakes,26029
Charlevoix,969,1998,0,2967,Public Water Supply,2013,0.33,0.67,0.0,Groundwater,26029
Charlevoix,4188,20364,3587,28141,Total All Sectors,2013,0.15,0.72,0.13,Groundwater,26029
Cheboygan,0,0,0,0,Commercial-Institutional,2013,0.0,0.0,0.0,Great Lakes,26031
Cheboygan,0,0,0,0,Electric Power Generation,2013,0.0,0.0,0.0,Great Lakes,26031
Cheboygan,0,12,417,430,Industrial-Manufacturing,2013,0.0,0.03,0.97,Inland Surface,26031
Cheboygan,0,337,12752,13089,Irrigation,2013,0.0,0.03,0.97,Inland Surface,26031
Cheboygan,0,0,0,0,Livestock,2013,0.0,0.0,0.0,Great Lakes,26031
Cheboygan,0,0,0,0,Other,2013,0.0,0.0,0.0,Great Lakes,26031
Cheboygan,0,3214,0,3214,Public Water Supply,2013,0.0,1.0,0.0,Groundwater,26031
Cheboygan,0,3564,13169,16734,Total All Sectors,2013,0.0,0.21,0.79,Inland Surface,26031
Chippewa,0,8,0,8,Commercial-Institutional,2013,0.0,1.0,0.0,Groundwater,26033
Chippewa,0,0,0,0,Electric Power Generation,2013,0.0,0.0,0.0,Great Lakes,26033
Chippewa,1299,0,0,1299,Industrial-Manufacturing,2013,1.0,0.0,0.0,Great Lakes,26033
Chippewa,21,191,0,213,Irrigation,2013,0.1,0.9,0.0,Groundwater,26033
Chippewa,0,107,0,107,Livestock,2013,0.0,1.0,0.0,Groundwater,26033
Chippewa,622,0,0,622,Other,2013,1.0,0.0,0.0,Great Lakes,26033
Chippewa,2169,1341,0,3511,Public Water Supply,2013,0.62,0.38,0.0,Great Lakes,26033
Chippewa,4112,1648,0,5761,Total All Sectors,2013,0.71,0.29,0.0,Great Lakes,26033
Clare,0,64,0,64,Commercial-Institutional,2013,0.0,1.0,0.0,Groundwater,26035
Clare,0,0,0,0,Electric Power Generation,2013,0.0,0.0,0.0,Great Lakes,26035
Clare,0,117,1712,1829,Industrial-Manufacturing,2013,0.0,0.06,0.94,Inland Surface,26035
Clare,0,363,26,390,Irrigation,2013,0.0,0.93,0.07,Groundwater,26035
Clare,0,10,0,10,Livestock,2013,0.0,1.0,0.0,Groundwater,26035
Clare,0,0,0,0,Other,2013,0.0,0.0,0.0,Great Lakes,26035
Clare,0,1448,0,1448,Public Water Supply,2013,0.0,1.0,0.0,Groundwater,26035
Clare,0,2004,1738,3743,Total All Sectors,2013,0.0,0.54,0.46,Groundwater,26035
Clinton,0,13,0,13,Commercial-Institutional,2013,0.0,1.0,0.0,Groundwater,26037
Clinton,0,0,0,0,Electric Power Generation,2013,0.0,0.0,0.0,Great Lakes,26037
Clinton,0,735,0,735,Industrial-Manufacturing,2013,0.0,1.0,0.0,Groundwater,26037
Clinton,0,1619,3872,5491,Irrigation,2013,0.0,0.29,0.71,Inland Surface,26037
Clinton,0,1117,0,1117,Livestock,2013,0.0,1.0,0.0,Groundwater,26037
Clinton,0,0,0,0,Other,2013,0.0,0.0,0.0,Great Lakes,26037
Clinton,0,1786,0,1786,Public Water Supply,2013,0.0,1.0,0.0,Groundwater,26037
Clinton,0,5271,3872,9144,Total All Sectors,2013,0.0,0.58,0.42,Groundwater,26037
Crawford,0,157,0,157,Commercial-Institutional,2013,0.0,1.0,0.0,Groundwater,26039
Crawford,0,300,0,300,Electric Power Generation,2013,0.0,1.0,0.0,Groundwater,26039
Crawford,0,134,0,134,Industrial-Manufacturing,2013,0.0,1.0,0.0,Groundwater,26039
Crawford,0,119,250,369,Irrigation,2013,0.0,0.32,0.68,Inland Surface,26039
Crawford,0,0,0,0,Livestock,2013,0.0,0.0,0.0,Great Lakes,26039
Crawford,0,0,0,0,Other,2013,0.0,0.0,0.0,Great Lakes,26039
Crawford,0,748,0,748,Public Water Supply,2013,0.0,1.0,0.0,Groundwater,26039
Crawford,0,1459,250,1709,Total All Sectors,2013,0.0,0.85,0.15,Groundwater,26039
Delta,4,0,5,10,Commercial-Institutional,2013,0.4,0.0,0.5,Inland Surface,26041
Delta,13147,0,0,13147,Electric Power Generation,2013,1.0,0.0,0.0,Great Lakes,26041
Delta,51655,171,463,52290,Industrial-Manufacturing,2013,0.99,0.0,0.01,Great Lakes,26041
Delta,90,15,150,255,Irrigation,2013,0.35,0.06,0.59,Inland Surface,26041
Delta,0,0,0,0,Livestock,2013,0.0,0.0,0.0,Great Lakes,26041
Delta,0,0,0,0,Other,2013,0.0,0.0,0.0,Great Lakes,26041
Delta,2760,131,0,2891,Public Water Supply,2013,0.95,0.05,0.0,Great Lakes,26041
Delta,67658,317,618,68595,Total All Sectors,2013,0.99,0.0,0.01,Great Lakes,26041
Dickinson,0,0,0,0,Commercial-Institutional,2013,0.0,0.0,0.0,Great Lakes,26043
Dickinson,0,0,0,0,Electric Power Generation,2013,0.0,0.0,0.0,Great Lakes,26043
Dickinson,0,417,29436,29854,Industrial-Manufacturing,2013,0.0,0.01,0.99,Inland Surface,26043
Dickinson,0,140,100,240,Irrigation,2013,0.0,0.58,0.42,Groundwater,26043
Dickinson,0,0,0,0,Livestock,2013,0.0,0.0,0.0,Great Lakes,26043
Dickinson,0,0,0,0,Other,2013,0.0,0.0,0.0,Great Lakes,26043
Dickinson,0,3229,0,3229,Public Water Supply,2013,0.0,1.0,0.0,Groundwater,26043
Dickinson,0,3787,29536,33323,Total All Sectors,2013,0.0,0.11,0.89,Inland Surface,26043
Eaton,0,3,0,3,Commercial-Institutional,2013,0.0,1.0,0.0,Groundwater,26045
Eaton,0,0,2707,2707,Electric Power Generation,2013,0.0,0.0,1.0,Inland Surface,26045
Eaton,0,3,0,3,Industrial-Manufacturing,2013,0.0,1.0,0.0,Groundwater,26045
Eaton,0,472,192,665,Irrigation,2013,0.0,0.71,0.29,Groundwater,26045
Eaton,0,0,0,0,Livestock,2013,0.0,0.0,0.0,Great Lakes,26045
Eaton,0,0,0,0,Other,2013,0.0,0.0,0.0,Great Lakes,26045
Eaton,0,3976,0,3976,Public Water Supply,2013,0.0,1.0,0.0,Groundwater,26045
Eaton,0,4456,2899,7356,Total All Sectors,2013,0.0,0.61,0.39,Groundwater,26045
Emmet,0,809,0,809,Commercial-Institutional,2013,0.0,1.0,0.0,Groundwater,26047
Emmet,0,0,0,0,Electric Power Generation,2013,0.0,0.0,0.0,Great Lakes,26047
Emmet,0,36,0,36,Industrial-Manufacturing,2013,0.0,1.0,0.0,Groundwater,26047
Emmet,209,673,15,898,Irrigation,2013,0.23,0.75,0.02,Groundwater,26047
Emmet,0,10966,1688,12655,Livestock,2013,0.0,0.87,0.13,Groundwater,26047
Emmet,0,1286,119,1406,Other,2013,0.0,0.91,0.08,Groundwater,26047
Emmet,0,4938,0,4938,Public Water Supply,2013,0.0,1.0,0.0,Groundwater,26047
Emmet,209,18711,1822,20744,Total All Sectors,2013,0.01,0.9,0.09,Groundwater,26047
Genesee,0,21,0,21,Commercial-Institutional,2013,0.0,1.0,0.0,Groundwater,26049
Genesee,0,191,0,191,Electric Power Generation,2013,0.0,1.0,0.0,Groundwater,26049
Genesee,0,18,0,18,Industrial-Manufacturing,2013,0.0,1.0,0.0,Groundwater,26049
Genesee,0,499,407,907,Irrigation,2013,0.0,0.55,0.45,Groundwater,26049
Genesee,0,0,0,0,Livestock,2013,0.0,0.0,0.0,Great Lakes,26049
Genesee,0,0,0,0,Other,2013,0.0,0.0,0.0,Great Lakes,26049
Genesee,0,8932,0,8932,Public Water Supply,2013,0.0,1.0,0.0,Groundwater,26049
Genesee,0,9663,407,10070,Total All Sectors,2013,0.0,0.96,0.04,Groundwater,26049
Gladwin,0,0,0,0,Commercial-Institutional,2013,0.0,0.0,0.0,Great Lakes,26051
Gladwin,0,0,0,0,Electric Power Generation,2013,0.0,0.0,0.0,Great Lakes,26051
Gladwin,0,2,0,2,Industrial-Manufacturing,2013,0.0,1.0,0.0,Groundwater,26051
Gladwin,0,0,29,29,Irrigation,2013,0.0,0.0,1.0,Inland Surface,26051
Gladwin,0,0,0,0,Livestock,2013,0.0,0.0,0.0,Great Lakes,26051
Gladwin,0,0,0,0,Other,2013,0.0,0.0,0.0,Great Lakes,26051
Gladwin,0,660,0,660,Public Water Supply,2013,0.0,1.0,0.0,Groundwater,26051
Gladwin,0,662,29,691,Total All Sectors,2013,0.0,0.96,0.04,Groundwater,26051
Gogebic,0,18,158,177,Commercial-Institutional,2013,0.0,0.1,0.89,Inland Surface,26053
Gogebic,0,0,0,0,Electric Power Generation,2013,0.0,0.0,0.0,Great Lakes,26053
Gogebic,0,227,0,227,Industrial-Manufacturing,2013,0.0,1.0,0.0,Groundwater,26053
Gogebic,0,0,0,0,Irrigation,2013,0.0,0.0,0.0,Great Lakes,26053
Gogebic,0,0,0,0,Livestock,2013,0.0,0.0,0.0,Great Lakes,26053
Gogebic,0,0,0,0,Other,2013,0.0,0.0,0.0,Great Lakes,26053
Gogebic,0,2206,0,2206,Public Water Supply,2013,0.0,1.0,0.0,Groundwater,26053
Gogebic,0,2452,158,2611,Total All Sectors,2013,0.0,0.94,0.06,Groundwater,26053
Grand Traverse,0,50,0,50,Commercial-Institutional,2013,0.0,1.0,0.0,Groundwater,26055
Grand Traverse,0,0,0,0,Electric Power Generation,2013,0.0,0.0,0.0,Great Lakes,26055
Grand Traverse,0,894,0,894,Industrial-Manufacturing,2013,0.0,1.0,0.0,Groundwater,26055
Grand Traverse,0,1366,179,1546,Irrigation,2013,0.0,0.88,0.12,Groundwater,26055
Grand Traverse,0,0,0,0,Livestock,2013,0.0,0.0,0.0,Great Lakes,26055
Grand Traverse,0,102,0,102,Other,2013,0.0,1.0,0.0,Groundwater,26055
Grand Traverse,7128,2580,0,9708,Public Water Supply,2013,0.73,0.27,0.0,Great Lakes,26055
Grand Traverse,7128,4994,179,12302,Total All Sectors,2013,0.58,0.41,0.01,Great Lakes,26055
Gratiot,0,0,0,0,Commercial-Institutional,2013,0.0,0.0,0.0,Great Lakes,26057
Gratiot,0,0,0,0,Electric Power Generation,2013,0.0,0.0,0.0,Great Lakes,26057
Gratiot,0,2,681,683,Industrial-Manufacturing,2013,0.0,0.0,1.0,Inland Surface,26057
Gratiot,0,13964,1889,15853,Irrigation,2013,0.0,0.88,0.12,Groundwater,26057
Gratiot,0,596,0,596,Livestock,2013,0.0,1.0,0.0,Groundwater,26057
Gratiot,0,0,0,0,Other,2013,0.0,0.0,0.0,Great Lakes,26057
Gratiot,0,2968,347,3315,Public Water Supply,2013,0.0,0.9,0.1,Groundwater,26057
Gratiot,0,17531,2918,20449,Total All Sectors,2013,0.0,0.86,0.14,Groundwater,26057
Hillsdale,0,895,0,895,Commercial-Institutional,2013,0.0,1.0,0.0,Groundwater,26059
Hillsdale,0,612,0,613,Electric Power Generation,2013,0.0,1.0,0.0,Groundwater,26059
Hillsdale,0,1438,0,1438,Industrial-Manufacturing,2013,0.0,1.0,0.0,Groundwater,26059
Hillsdale,0,5076,3240,8316,Irrigation,2013,0.0,0.61,0.39,Groundwater,26059
Hillsdale,0,197,0,197,Livestock,2013,0.0,1.0,0.0,Groundwater,26059
Hillsdale,0,0,0,0,Other,2013,0.0,0.0,0.0,Great Lakes,26059
Hillsdale,0,4159,0,4159,Public Water Supply,2013,0.0,1.0,0.0,Groundwater,26059
Hillsdale,0,12379,3241,15621,Total All Sectors,2013,0.0,0.79,0.21,Groundwater,26059
Houghton,0,0,0,0,Commercial-Institutional,2013,0.0,0.0,0.0,Great Lakes,26061
Houghton,0,0,0,0,Electric Power Generation,2013,0.0,0.0,0.0,Great Lakes,26061
Houghton,0,0,0,0,Industrial-Manufacturing,2013,0.0,0.0,0.0,Great Lakes,26061
Houghton,0,32,36,69,Irrigation,2013,0.0,0.46,0.52,Inland Surface,26061
Houghton,0,0,0,0,Livestock,2013,0.0,0.0,0.0,Great Lakes,26061
Houghton,0,0,0,0,Other,2013,0.0,0.0,0.0,Great Lakes,26061
Houghton,0,4231,0,4231,Public Water Supply,2013,0.0,1.0,0.0,Groundwater,26061
Houghton,0,4264,36,4301,Total All Sectors,2013,0.0,0.99,0.01,Groundwater,26061
Huron,0,41,4,45,Commercial-Institutional,2013,0.0,0.91,0.09,Groundwater,26063
Huron,28746,0,0,28746,Electric Power Generation,2013,1.0,0.0,0.0,Great Lakes,26063
Huron,0,61,0,61,Industrial-Manufacturing,2013,0.0,1.0,0.0,Groundwater,26063
Huron,10,264,1846,2121,Irrigation,2013,0.0,0.12,0.87,Inland Surface,26063
Huron,0,203,0,203,Livestock,2013,0.0,1.0,0.0,Groundwater,26063
Huron,0,3,0,3,Other,2013,0.0,1.0,0.0,Groundwater,26063
Huron,2730,616,0,3347,Public Water Supply,2013,0.82,0.18,0.0,Great Lakes,26063
Huron,31487,1190,1850,34528,Total All Sectors,2013,0.91,0.03,0.05,Great Lakes,26063
Ingham,0,124,0,124,Commercial-Institutional,2013,0.0,1.0,0.0,Groundwater,26065
Ingham,0,0,103013,103013,Electric Power Generation,2013,0.0,0.0,1.0,Inland Surface,26065
Ingham,0,119,0,119,Industrial-Manufacturing,2013,0.0,1.0,0.0,Groundwater,26065
Ingham,0,1402,561,1964,Irrigation,2013,0.0,0.71,0.29,Groundwater,26065
Ingham,0,0,0,0,Livestock,2013,0.0,0.0,0.0,Great Lakes,26065
Ingham,0,0,0,0,Other,2013,0.0,0.0,0.0,Great Lakes,26065
Ingham,0,42971,0,42971,Public Water Supply,2013,0.0,1.0,0.0,Groundwater,26065
Ingham,0,44618,103575,148193,Total All Sectors,2013,0.0,0.3,0.7,Inland Surface,26065
Ionia,0,201,0,201,Commercial-Institutional,2013,0.0,1.0,0.0,Groundwater,26067
Ionia,0,0,0,0,Electric Power Generation,2013,0.0,0.0,0.0,Great Lakes,26067
Ionia,0,240,0,240,Industrial-Manufacturing,2013,0.0,1.0,0.0,Groundwater,26067
Ionia,0,3204,1095,4299,Irrigation,2013,0.0,0.75,0.25,Groundwater,26067
Ionia,0,562,0,562,Livestock,2013,0.0,1.0,0.0,Groundwater,26067
Ionia,0,1,0,1,Other,2013,0.0,1.0,0.0,Groundwater,26067
Ionia,0,6771,0,6771,Public Water Supply,2013,0.0,1.0,0.0,Groundwater,26067
Ionia,0,10981,1095,12077,Total All Sectors,2013,0.0,0.91,0.09,Groundwater,26067
Iosco,0,0,0,0,Commercial-Institutional,2013,0.0,0.0,0.0,Great Lakes,26069
Iosco,0,0,0,0,Electric Power Generation,2013,0.0,0.0,0.0,Great Lakes,26069
Iosco,0,53,61,115,Industrial-Manufacturing,2013,0.0,0.46,0.53,Inland Surface,26069
Iosco,0,233,211,445,Irrigation,2013,0.0,0.52,0.47,Groundwater,26069
Iosco,0,0,0,0,Livestock,2013,0.0,0.0,0.0,Great Lakes,26069
Iosco,0,0,0,0,Other,2013,0.0,0.0,0.0,Great Lakes,26069
Iosco,1542,8,0,1551,Public Water Supply,2013,0.99,0.01,0.0,Great Lakes,26069
Iosco,1542,296,273,2112,Total All Sectors,2013,0.73,0.14,0.13,Great Lakes,26069
Iron,0,0,0,0,Commercial-Institutional,2013,0.0,0.0,0.0,Great Lakes,26071
Iron,0,0,0,0,Electric Power Generation,2013,0.0,0.0,0.0,Great Lakes,26071
Iron,0,0,0,0,Industrial-Manufacturing,2013,0.0,0.0,0.0,Great Lakes,26071
Iron,0,47,48,95,Irrigation,2013,0.0,0.49,0.51,Inland Surface,26071
Iron,0,0,0,0,Livestock,2013,0.0,0.0,0.0,Great Lakes,26071
Iron,0,0,0,0,Other,2013,0.0,0.0,0.0,Great Lakes,26071
Iron,0,1918,0,1918,Public Water Supply,2013,0.0,1.0,0.0,Groundwater,26071
Iron,0,1965,48,2014,Total All Sectors,2013,0.0,0.98,0.02,Groundwater,26071
Isabella,0,11,0,11,Commercial-Institutional,2013,0.0,1.0,0.0,Groundwater,26073
Isabella,0,80,0,80,Electric Power Generation,2013,0.0,1.0,0.0,Groundwater,26073
Isabella,0,0,1760,1760,Industrial-Manufacturing,2013,0.0,0.0,1.0,Inland Surface,26073
Isabella,0,6097,2431,8528,Irrigation,2013,0.0,0.71,0.29,Groundwater,26073
Isabella,0,64,0,64,Livestock,2013,0.0,1.0,0.0,Groundwater,26073
Isabella,0,0,0,0,Other,2013,0.0,0.0,0.0,Great Lakes,26073
Isabella,0,3840,0,3840,Public Water Supply,2013,0.0,1.0,0.0,Groundwater,26073
Isabella,0,10093,4191,14284,Total All Sectors,2013,0.0,0.71,0.29,Groundwater,26073
Jackson,0,520,0,520,Commercial-Institutional,2013,0.0,1.0,0.0,Groundwater,26075
Jackson,0,0,0,0,Electric Power Generation,2013,0.0,0.0,0.0,Great Lakes,26075
Jackson,0,702,684,1386,Industrial-Manufacturing,2013,0.0,0.51,0.49,Groundwater,26075
Jackson,0,6966,3173,10140,Irrigation,2013,0.0,0.69,0.31,Groundwater,26075
